,Localisation
 b_sable,"""Sable"""
 b_mayenne,"""Mayenne"""
 b_laval,"""Laval"""
 d_normandy,"""Normandy"""
 c_rouen,"""Rouen"""
 b_rouen,"""Rouen"""
 b_gisors,"""Gisors"""
 b_harcourt,"""Harcourt"""
 c_evreux,"""Evreux"""
 b_evreux,"""Évreux"""
 b_vernon,"""Vernon"""
 b_verneuil,"""Verneuil"""
 c_bayeux,"""Bayeux"""
 b_bayeux,"""Bayeux"""
 b_caen,"""Caen"""
 b_falaise,"""Falaise"""
 c_avranches,"""Avranches"""
 b_avranches,"""Avranches"""
 b_cherbourg,"""Cherbourg"""
 b_coutances,"""Coutances"""
 c_alencon,"""Alençon"""
 b_alencon,"""Alençon"""
 b_mortain,"""Mortain"""
 b_argentan,"""Argentan"""
 c_lisieux,"""Lisieux"""
 b_lisieux,"""Lisieux"""
 b_sees,"""Sees"""
 c_eu,"""Eu"""
 b_eu,"""Eu"""
 b_fecamp,"""Fecamp"""
 b_dieppe,"""Dieppe"""
 b_aumale,"""Aumale"""
 d_orleans,"""Orleans"""
 c_orleans,"""Orleans"""
 b_orleans,"""Orléans"""
 b_beaugency,"""Beaugency"""
 b_olivet,"""Olivet"""
 b_vierzon,"""Vierzon"""
 c_montargis,"""Montargis"""
 b_montargis,"""Montargis"""
 b_coutenay,"1 ""Courtenay"""
 b_chateau_renard,"""Château Renard"""
 c_vendome,"""Vendome"""
 b_vendome,"""Vendôme"""
 b_chateaudun,"""Châteaudun"""
 c_chartres,"""Chartres"""
 b_dreux,"""Dreux"""
 b_chartres,"""Chartres"""
 b_perche,"1 ""Mortagne"""
 b_nogent_le_rotrou,"""Nogent-le-Rotrou"""
 c_sancerre,"""Sancerre"""
 b_sancerre,"""Sancerre"""
 b_sully_sur_loire,"""Sully-sur-Loire"""
 b_herry,"""Herry"""
 d_champagne,"""Champagne"""
 c_reims,"""Reims"""
 b_reims,"""Reims"""
 b_epernay,"""Épernay"""
 b_chatillon,"""Châtillon"""
 b_chateau_thierry,"""Château-Thierry"""
 c_troyes,"""Troyes"""
 b_troyes,"""Troyes"""
 b_clairvaux,"""Clairvaux"""
 b_joinville,"""Joinville"""
 b_bar_sur_aube,"""Bar-sur-Aube"""
 c_coulommiers,"1 ""Provins"""
 b_provins,"""Provins"""
 b_coulommiers,"""Coulommiers"""
 b_romilly,"""Romilly"""
 c_meaux,"""Meaux"""
 b_meaux,"""Meaux"""
 b_crecy,"""Crécy"""
 c_chalons,"""Chalons"""
 b_chalons,"""Châlons"""
 b_saint_dizier,"""Saint-Dizier"""
 b_vitry_en_perthois,"""Vitry-en-Perthois"""
 c_rethel,"""Rethel"""
 b_rethel,"""Rethel"""
 b_grandpre,"""Grandpré"""
 b_mezieres,"""Mézières"""
 b_romigny,"""Romigny"""
 c_sens,"""Sens"""
 b_sens,"""Sens"""
 b_nogent,"""Nogent"""
 b_aube,"""Aube"""
 b_bar_sur_seine,"""Bar-sur-Seine"""
 d_burgundy,"""Burgundy"""
 c_dijon,"""Dijon"""
 b_dijon,"""Dijon"""
 b_gray,"""Gray"""
 b_chaumont,"""Chaumont"""
 c_chalon,"""Chalon"""
 b_chalon,"""Chalon"""
 b_citeaux,"""Cîteaux"""
 b_beaune,"""Beaune"""
 b_autun,"""Autun"""
 c_auxerre,"""Auxerre"""
 b_auxerre,"""Auxerre"""
 b_donzy,"""Donzy"""
 b_chablis,"""Chablis"""
 c_tonnerrois,"""Tonnerrois"""
 b_tonnerre,"""Tonnere"""
 b_montbard,"""Montbard"""
 c_avalois,"""Avalois"""
 b_vezelay,"""Vézelay"""
 b_morvan,"""Morvan"""
 c_macon,"""Macon"""
 b_macon,"""Mâcon"""
 b_cluny,"""Cluny"""
 b_semur_en_brionnais,"""Semur-en-Brionnais"""
 c_nevers,"""Nevers"""
 b_nevers,"""Nevers"""
 b_moulins,"""Moulins"""
 b_pougues_les_eaux,"""Pougues-les-Eaux"""
 d_bar,"""Bar"""
 c_bar,"""Bar"""
 b_bar,"""Bar"""
 b_verdun,"""Verdun"""
 b_argonne,"1 ""Saint-Mihiel"""
 c_briey,"""Briey"""
 b_briey,"""Briey"""
 b_hayange,"""Hayange"""
 c_langres,"""Langres"""
 b_langres,"""Langres"""
 b_grand,"""Grand"""
 b_champs,"""Champs"""
 c_vaucouleurs,"""Vaucouleurs"""
 b_vaucouleurs,"""Vaucouleurs"""
 b_toul,"""Toul"""
 d_flanders,"""Flanders"""
 c_brugge,"""Brugge"""
 b_bruges,"""Bruges"""
 b_gent,"""Gent"""
 b_roeselare,"""Roeselare"""
 c_yperen,"""Yperen"""
 b_ypres,"""Ypres"""
 b_veurne,"""Veurne"""
 b_dunkirk,"""Dunkirk"""
 c_guines,"""Guines"""
 b_calais,"""Calais"""
 b_grevelines,"1 ""Gravelines"""
 b_saint_omer,"""Saint-Omer"""
 c_lille,"""Lille"""
 b_lille,"""Lille"""
 b_courtrai,"""Courtrai"""
 b_aire,"""Aire"""
 c_boulogne,"""Boulogne"""
 b_boulogne,"""Boulogne"""
 b_montreuil_sur_mer,"""Montreuil-sur-Mer"""
 b_abbeville,"""Abbeville"""
 b_hesdin,"""Hesdin"""
 k_aquitaine,"""Aquitaine"""
 d_gascogne,"""Gascogne"""
 c_bordeaux,"""Bordeaux"""
 b_bordeaux,"""Bordeaux"""
 b_medoc,"""Médoc"""
 b_blaye,"""Blaye"""
 b_fronsac,"""Fronsac"""
 c_labourd,"""Labourd"""
 b_bayonne,"""Bayonne"""
 b_dax,"""Dax"""
 b_mimizan,"""Mimizan"""
 c_albret,"""Albret"""
 b_albret,"""Albret"""
 b_tartas,"""Tartas"""
 b_la_teste_de_buch,"""La Teste-de-Buch"""
 b_langon,"""Langon"""
 c_marsan,"""Marsan"""
 b_marsan,"""Marsan"""
 b_bazadais,"""Bazadais"""
 b_gabardan,"""Gabardan"""
 c_agenais,"""Agenais"""
 b_agen,"""Agen"""
 b_agenais,"""Agenais"""
 d_aquitaine,"""Aquitaine"""
 c_angouleme,"""Angouleme"""
 b_angouleme,"""Angoulême"""
 b_saint_junien,"""Saint-Junien"""
 b_cognac,"""Cognac"""
 c_perigord,"""Perigord"""
 b_perigueux,"""Périgueux"""
 b_nontron,"""Nontron"""
 b_montignac,"""Montignac"""
 b_bergerac,"""Bergerac"""
 c_limousin,"""Limousin"""
 b_limoges,"""Limoges"""
 b_chalus,"""Châlus"""
 b_ventadour,"""Ventadour"""
 b_turenne,"""Turenne"""
 c_saintonge,"""Saintonge"""
 b_saintonge,"""Saintonge"""
 b_jonzac,"""Jonzac"""
 b_royan,"""Royan"""
 b_saintes,"""Saintes"""
 c_aunis,"""Aunis"""
 b_la_rochelle,"""La Rochelle"""
 b_taillebourg,"""Taillebourg"""
 d_toulouse,"""Toulouse"""
 c_toulouse,"""Toulouse"""
 b_toulouse,"""Toulouse"""
 b_pamiers,"""Pamiers"""
 b_castelsarrasin,"""Castelsarrasin"""
 b_beaumont_sur_leze,"""Beaumont-sur-Lèze"""
 c_quercy,"""Quercy"""
 b_quercy,"""Quercy"""
 b_montauban,"""Montauban"""
 b_cahors,"""Cahors"""
 b_figeac,"""Figeac"""
 c_gevaudan,"""Gevaudan"""
 b_gevaudan,"""Gevaudan"""
 b_mende,"""Mende"""
 b_saint_flour,"""Saint-Flour"""
 b_langeac,"""Langeac"""
 c_rouergue,"""Rouergue"""
 b_rodez,"""Rodez"""
 b_la_salle,"""La Salle"""
 b_marvejols,"""Marvejols"""
 b_la_peyrade,"""La Peyrade"""
 c_millau,"""Millau"""
 b_millau,"""Millau"""
 b_navacelles,"""Navacelles"""
 d_languedoc,"""Languedoc"""
 c_albi,"""Albi"""
 b_albi,"""Albi"""
 b_castelnaudary,"""Castelnaudary"""
 c_uses,"""Uses"""
 b_montlaur,"""Montlaur"""
 b_uses,"""Uses"""
 c_montpellier,"""Montpellier"""
 b_montpellier,"""Montpellier"""
 b_nimes,"""Nîmes"""
 b_cevennes,"""Cevennes"""
 c_carcassonne,"""Carcassonne"""
 b_carcassonne,"""Carcassonne"""
 b_limoux,"""Limoux"""
 b_narbonne,"""Narbonne"""
 c_beziers,"""Béziers"""
 b_beziers,"""Béziers"""
 b_lodeve,"""Lodève"""
 b_agde,"""Agde"""
 c_foix,"""Foix"""
 b_foix,"""Foix"""
 b_tarascon,"""Tarascon"""
 b_montbel,"""Montbel"""
 d_armagnac,"""Armagnac"""
 c_armagnac,"""Armagnac"""
 b_armagnac,"""Armagnac"""
 b_lectoure,"""Lectoure"""
 b_lomagne,"""Lomagne"""
 b_fesensac,"""Fesensac"""
 c_bigorre,"""Bigorre"""
 b_tarbes,"""Tarbes"""
 b_pardiac,"""Pardiac"""
 c_bearn,"""Bearn"""
 b_pau,"""Pau"""
 b_tursan,"""Tursan"""
 b_oloron,"""Oloron"""
 c_comminges,"""Comminges"""
 b_bertrand_de_comminges,"""Bertrand-de-Comminges"""
 b_saint_lizier,"""Saint-Lizier"""
 b_astarac,"""Astarac"""
 b_muret,"""Muret"""
 d_poitou,"""Poitou"""
 c_poitiers,"""Poitiers"""
 b_poitiers,"""Poitiers"""
 b_ruffec,"""Ruffec"""
 b_chatellerault,"""Châtellerault"""
 b_loudun,"""Loudun"""
 c_lusignan,"""Lusignan"""
 b_lusignan,"""Lusignan"""
 b_melle,"""Melle"""
 b_niort,"""Niort"""
 c_montaigu,"""Montaigu"""
 b_montaigu,"""Montaigu"""
 b_talmont,"""Talmont"""
 b_maulevrier,"""Maulévrier"""
 c_thouars,"""Thouars"""
 b_thouars,"""Thouars"""
 b_parthenay,"""Parthenay"""
 b_bressuire,"""Bressuire"""
 b_fontenay,"""Fontenay"""
 d_auvergne,"""Auvergne"""
 c_auvergne,"""Auvergne"""
 b_aurillac,"""Aurillac"""
 b_carlat,"""Carlat"""
 b_murat,"""Murat"""
 c_clermont_sur_allier,"""Clermont-sur-Allier"""
 b_clermont_sur_ailler,"""Clermont-sur-Allier"""
 b_la_tour,"""La Tour"""
 b_mercaeur,"""Mercaeur"""
 b_montpensier,"""Montpensier"""
 c_thiers,"""Thiers"""
 b_thiers,"""Thiers"""
 b_ambert,"""Ambert"""
 c_velay,"""Velay"""
 b_le_puy,"""Velayese"""
 b_velay,"""Velay"""
 d_bourbon,"""Bourbon"""
 c_bourbon,"""Bourbon"""
 b_bourbon,"""Bourbon"""
 b_orval,"""Orval"""
 b_montlucon,"""Montluçon"""
 b_boussac,"""Boussac"""
 c_bellac,"""Bellac"""
 b_bellac,"""Bellac"""
 b_la_tremouille,"""La Tremouille"""
 c_jaligny,"""Jaligny"""
 b_saint_pourcain,"""Saint-Pourcain"""
 b_jaligny,"""Jaligny"""
 c_la_marche,"""La Marche"""
 b_grandmont,"""Grandmont"""
 b_gueret,"""Guéret"""
 b_aubusson,"""Aubusson"""
 k_brittany,"""Brittany"""
 d_brittany,"""Brittany"""
 c_vannes,"""Vannes"""
 b_vannes,"""Vannes"""
 b_porhoet,"""Porhoet"""
 b_rohan,"""Rohan"""
 c_nantes,"""Nantes"""
 b_nantes,"""Nantes"""
 b_rais,"""Rais"""
 b_guerande,"""Guerande"""
 b_chateaubriant,"""Châteaubriant"""
 c_cornouaille,"""Cornouaille"""
 b_quimper,"""Quimper"""
 b_lorient,"""Lorient"""
 b_cornouailles,"""Cornouailles"""
 c_french_leon,"1 ""Léon"""
 b_brest,"""Brest"""
 b_st_pol_de_leon,"""St Pol de Leon"""
 c_penthievre,"""Penthievre"""
 b_saint_brieuc,"""Saint-Brieuc"""
 b_treguier,"""Treguier"""
 b_saint_malo,"""Saint-Malo"""
 c_rennes,"""Rennes"""
 b_rennes,"""Rennes"""
 b_combourg,"""Combourg"""
 k_burgundy,"""Burgundy"""
 d_provence,"""Provence"""
 c_venaissin,"""Venaissin"""
 b_arles,"""Arles"""
 b_orange,"""Orange"""
 b_avignon,"""Avignon"""
 b_vaison,"""Vaison"""
 c_provence,"""Provence"""
 b_toulon,"""Toulon"""
 b_dragugnian,"1 ""Draguignan"""
 b_castellane,"""Castellane"""
 b_marseille,"""Marseille"""
 b_aix,"""Aix"""
 c_nice,"""Nice"""
 b_nice,"""Nice"""
 b_grasse,"""Grasse"""
 b_barcelonnette,"""Barcelonnette"""
 b_puget,"""Puget"""
 b_digne,"""Digne"""
 c_forcalquier,"""Forcalquier"""
 b_forcalquier,"""Forcalquier"""
 b_apt,"""Apt"""
 b_embrun,"""Embrun"""
 b_gap,"""Gap"""
 b_briancon,"""Briançon"""
 d_savoie,"""Savoy"""
 c_savoie,"""Savoie"""
 b_moutiers,"""Moutiers"""
 b_saint_michel_de_maurienne,"""Saint-Michel-de-Maurienne"""
 b_chambery,"""Chambéry"""
 b_belley,"""Belley"""
 c_aosta,"""Aosta"""
 b_aosta,"""Aosta"""
 b_martigny,"""Martigny"""
 c_geneva,"""Geneva"""
 b_geneva,"""Geneva"""
 b_annecy,"""Annecy"""
 b_thonon_les_bains,"""Thonon-les-Bains"""
 b_faucigny,"""Faucigny"""
 c_canavese,"""Canavese"""
 b_ivrea,"""Ivrea"""
 b_pinerolo,"""Pinerolo"""
 b_canavese,"1 ""Susa"""
 d_dauphine,"""Viennois"""
 c_lyon,"""Lyon"""
 b_lyon,"""Lyon"""
 b_villars,"""Villars"""
 b_beaujeu,"""Beaujeu"""
 c_forez,"""Forez"""
 b_feurs,"""Feurs"""
 b_montbrison,"""Montbrison"""
 b_roanne,"""Roanne"""
 c_viviers,"""Viviers"""
 b_viviers,"""Viviers"""
 b_annonay,"""Annonay"""
 c_viennois,"""Viennois"""
 b_grenoble,"""Grenoble"""
 b_vienne,"""Vienne"""
 b_chartreuse,"1 ""Paladru"""
 b_romans,"""Romans"""
 c_valentinois,"""Valentinois"""
 b_monteil,"""Monteil"""
 b_die,"""Die"""
 b_valence,"""Valence"""
 d_upper_burgundy,"""Upper Burgundy"""
 c_besancon,"""Besancon"""
 b_besancon,"""Besançon"""
 b_vesoul,"""Vesoul"""
 b_morteau,"""Morteau"""
 b_ornans,"""Ornans"""
 b_gy,"""Gy"""
 c_bresse,"""Bresse"""
 b_bourg,"""Bourg"""
 b_champagnole,"""Champagnole"""
 c_dole,"""Dole"""
 b_dole,"""Dole"""
 b_quingey,"""Quingey"""
 b_lons_le_saunier,"""Lons-le-Saunier"""
 b_salins,"""Salins"""
 d_transjurania,"""Transjurania"""
 c_bern,"""Bern"""
 b_bern,"""Bern"""
 b_lausanne,"""Lausanne"""
 b_thun,"""Thun"""
 c_aargau,"""Aargau"""
 b_biel,"""Biel"""
 b_lucerne,"""Lucerne"""
 c_neuchatel,"""Neuchatel"""
 b_neuchatel,"""Neuchatel"""
 b_pontarlier,"""Pontarlier"""
 e_spain,"""Hispania"""
 k_andalusia,"""Andalusia"""
 d_cordoba,"""Cordoba"""
 c_cordoba,"""Cordoba"""
 b_cordoba,"""Cordoba"""
 b_cantillana,"""Cantillana"""
 b_guadiato,"""Guadiato"""
 b_pedroche,"""Pedroche"""
 c_calatrava,"""Calatrava"""
 b_calatrava,"""Calatrava"""
 b_tomelloso,"1 ""Valdepeñas"""
 b_mentesa,"""Mentesa"""
 c_almader,"1 ""Alarcos"""
 b_alarcos,"""Alarcos"""
 b_almader,"1 ""Almadén"""
 c_andujar,"1 ""Jaén"""
 b_jaen,"""Jaén"""
 b_andujar,"""Andújar"""
 b_ubeda,"""Ubeda"""
 d_granada,"""Granada"""
 c_granada,"""Granada"""
 b_granada,"""Granada"""
 b_quesada,"1 ""Huescar"""
 b_guadiz,"1 ""Guadix"""
 c_almeria,"""Almeria"""
 b_almeria,"""Almería"""
 b_lorca,"""Lorca"""
 b_baza,"""Baza"""
 c_cabra,"""Cabra"""
 b_cabra,"""Cabra"""
 b_antequera,"""Antequera"""
 c_malaga,"""Malaga"""
 b_malaga,"""Malaga"""
 b_nerja,"""Nerja"""
 b_motril,"""Motril"""
 d_sevilla,"""Seville"""
 c_sevilla,"""Sevilla"""
 b_sevilla,"""Seville"""
 b_carmona,"""Carmona"""
 b_almonte,"""Almonte"""
 b_triana,"1 ""Aznalcóllar"""
 c_cadiz,"""Cadiz"""
 b_cadiz,"""Cádiz"""
 b_tarifa,"""Tarifa"""
 b_jerez,"""Jeréz"""
 c_algeciras,"""Algeciras"""
 b_algeciras,"""Algeciras"""
 b_arcos,"""Arcos"""
 b_moron,"""Moron"""
 c_niebla,"""Niebla"""
 b_niebla,"""Niebla"""
 b_huelva,"""Huelva"""
 b_ayamonte,"""Ayamonte"""
 b_zafra,"1 ""Aracena"""
 c_moura,"""Moura"""
 b_moura,"""Moura"""
 b_serpa,"""Serpa"""
 d_toledo,"""Toledo"""
 c_toledo,"""Toledo"""
 b_toledo,"""Toledo"""
 b_maqueda,"""Maqueda"""
 b_talavera,"""Talavera"""
 c_madrid,"""Madrid"""
 b_madrid,"""Madrid"""
 b_gudalajara,"""Gudalajara"""
 b_villarejodesalvanes,"""Villarejo de Salvanes"""
 b_arganda,"""Arganda"""
 c_molina,"""Molina"""
 b_molina,"""Molina"""
 b_ablanque,"1 ""Atienza"""
 b_medinaceli,"""Medinaceli"""
 b_siguenza,"""Sigüenza"""
 c_cuenca,"""Cuenca"""
 b_cuenca,"""Cuenca"""
 b_altotajo,"1 ""Huélamo"""
 b_zurita,"1 ""Zorita"""
 b_huete,"""Huete"""
 c_malagon,"""Malagon"""
 b_malagon,"""Malagon"""
 b_cabaneros,"""Cabaneros"""
 b_lajara,"""La Jara"""
 b_lapueblademontalban,"""La Puebla de Montalban"""
 c_mora,"1 ""Uclés"""
 b_ucles,"""Ucles"""
 b_mora,"""Mora"""
 b_ocana,"1 ""Ocaña"""
 b_quintanar,"""Quintanar"""
 k_badajoz,"""Badajoz"""
 d_beja,"""Beja"""
 c_lisboa,"""Lisboa"""
 b_lisboa,"""Lisboa"""
 b_santarem,"""Santarém"""
 b_setubal,"""Setúbal"""
 c_beja,"1 ""Évora"""
 b_evora,"""Évora"""
 b_beja,"""Beja"""
 c_alcacer_do_sal,"""Alcacer do Sal"""
 b_alcacerdosal,"""Alcácer do Sal"""
 b_montemor,"""Montemor"""
 b_vianadoalento,"1 ""Viana do Alentejo"""
 b_avis,"""Avis"""
 c_elvas,"""Elvas"""
 b_elvas,"""Elvas"""
 b_nisa,"""Nisa"""
 b_crato,"""Crato"""
 d_badajoz,"""Badajoz"""
 c_badajoz,"""Badajoz"""
 b_badajoz,"""Badajoz"""
 b_olivienza,"""Olivienza"""
 b_ilerena,"1 ""Llerena"""
 c_plasencia,"""Plasencia"""
 b_hervas,"""Hervás"""
 b_coira,"1 ""Coria"""
 b_almaraz,"""Almaraz"""
 c_caceres,"""Caceres"""
 b_caceres,"""Cáceres"""
 b_alcantara,"""Alcantara"""
 b_zalaca,"""Zalaca"""
 c_merida,"""Merida"""
 b_merida,"""Mérida"""
 b_trujillo,"""Trujillo"""
 b_castilblanco,"""Castilblanco"""
 c_medellin,"""Medellin"""
 b_medellin,"""Medellin"""
 b_donllorente,"1 ""La Serena"""
 b_hornachos,"""Hornachos"""
 d_algarve,"""Algarve"""
 c_faro,"""Faro"""
 b_faro,"""Faro"""
 b_mertola,"""Mértola"""
 c_silves,"""Silves"""
 b_silves,"""Silves"""
 b_ourique,"""Ourique"""
 b_lagos,"""Lagos"""
 k_valencia,"""Valencia"""
 d_valencia,"""València"""
 c_valencia,"""Valencia"""
 b_valencia,"""València"""
 b_murviedro,"""Murviedro"""
 b_montanejos,"""Montanejos"""
 b_requena,"""Requena"""
 c_castellon,"""Castellon"""
 b_castellon,"""Castelló"""
 b_amposta,"""Amposta"""
 b_segorbe,"""Segorbe"""
 c_teruel,"""Teruel"""
 b_teruel,"""Teruel"""
 b_maestrazgo,"""Maestrazgo"""
 b_ademuz,"1 ""Alpuente"""
 c_denia,"""Denia"""
 b_denia,"""Dénia"""
 b_almansa,"1 ""Alcoy"""
 c_alicante,"""Alicante"""
 b_alicante,"""Alacant"""
 b_albacete,"""Albacete"""
 d_mallorca,"""Mallorca"""
 c_mallorca,"""Mallorca"""
 b_palma,"""Palma"""
 b_alcudia,"""Alcúdia"""
 c_menorca,"""Menorca"""
 b_menorca,"""Minorca"""
 c_iviza,"1 ""Ibiza"""
 b_iviza,"1 ""Ibiza"""
 d_murcia,"""Murcia"""
 c_murcia,"""Murcia"""
 b_murcia,"""Murcia"""
 b_cartagena,"""Cartagena"""
 b_aguilas,"""Aguilas"""
 b_caravacadelacruz,"""Caravaca de la Cruz"""
 b_cieza,"""Cieza"""
 c_alcaraz,"""Alcaraz"""
 b_alcaraz,"""Alcaraz"""
 b_huescar,"1 ""Cotillas"""
 b_segura,"1 ""Albacete"""
 b_reolid,"1 ""Montiel"""
 c_alarcon,"""Alarcon"""
 b_alarcon,"""Alarcón"""
 b_ventadelmoro,"1 ""Iniesta"""
 b_valeria,"""Valeria"""
 b_alcazar,"""Alcazar"""
 k_castille,"""Castille"""
 d_castilla,"""Castille"""
 c_burgos,"""Burgos"""
 b_burgos,"""Burgos"""
 b_atapuerca,"""Atapuerca"""
 b_lerma,"""Lerma"""
 b_palencia,"""Palencia"""
 c_valladolid,"""Valladolid"""
 b_valladolid,"""Valladolid"""
 b_simancas,"""Simancas"""
 b_arandadeduero,"""Aranda de Duero"""
 c_soria,"""Soria"""
 b_soria,"""Soria"""
 b_osma,"""Osma"""
 b_sanesteban,"""San Esteban"""
 b_sanleonardodeyague,"1 ""San Leonardo"""
 c_cuellar,"""Cuellar"""
 b_segovia,"""Segovia"""
 b_cuellar,"""Cuellar"""
 b_uceda,"""Uceda"""
 c_olmedo,"""Olmedo"""
 b_olmedo,"""Olmedo"""
 b_coracera,"""Coracera"""
 d_cantabria,"""Cantabria"""
 c_asturias_de_santillana,"""Asturias de Santillana"""
 b_santiallana,"""Santillana"""
 b_santander,"""Santander"""
 b_reinosa,"""Reinosa"""
 b_medinadepomar,"""Medina de Pomar"""
 c_amaya,"""Amaya"""
 b_amaya,"""Amaya"""
 b_mirandadeebro,"""Miranda de Ebro"""
 b_sedano,"""Sedano"""
 k_aragon,"""Aragon"""
 d_aragon,"""Aragon"""
 c_zaragoza,"""Zaragoza"""
 b_zaragoza,"""Zaragoza"""
 b_ejea,"""Ejea"""
 b_zuera,"""Zuera"""
 b_sarinena,"1 ""Sariñena"""
 c_albarracin,"""Albarracin"""
 b_albarracin,"""Albarracin"""
 b_sierradesanjust,"1 ""Utrillas"""
 b_belchite,"""Belchite"""
 c_alto_aragon,"""Alto Aragon"""
 b_alto_aragon,"""Alto Aragon"""
 b_huesca,"""Huesca"""
 b_ainsa,"1 ""Sobrarbe"""
 b_jaca,"""Jaca"""
 b_ribagorza,"""Ribagorza"""
 c_calatayud,"""Calatayud"""
 b_calatayud,"""Calatayud"""
 b_daroca,"""Daroca"""
 c_fraga,"""Fraga"""
 b_fraga,"""Fraga"""
 b_barbastro,"""Barbastro"""
 c_alcaniz,"""Alcaniz"""
 b_alcaniz,"""Alcañiz"""
 b_caspe,"""Caspe"""
 b_calaceite,"""Calaceite"""
 d_barcelona,"""Barcelona"""
 c_barcelona,"""Barcelona"""
 b_barcelona,"""Barcelona"""
 b_loredo,"""Loredo"""
 b_sitges,"""Sitges"""
 b_manresa,"1 ""Cardona"""
 c_urgell,"""Urgell"""
 b_urgell,"""Urgell"""
 b_berga,"""Berga"""
 b_vielha,"""Vielha"""
 b_andorra,"1 ""Seu d'Urgell"""
 c_puigcerda,"1 ""Cerdaña"""
 b_puigcerda,"""Puigcerdà"""
 b_olot,"""Olot"""
 b_vic,"""Vic"""
 c_girona,"""Girona"""
 b_perpignan,"1 ""Perpinyà"""
 b_girona,"""Girona"""
 b_roses,"""Roses"""
 c_lleida,"""Lleida"""
 b_lleida,"""Lleida"""
 b_balaguer,"""Balaguer"""
 b_maials,"""Maials"""
 c_tarragona,"""Tarragona"""
 b_tarragona,"""Tarragona"""
 b_tortosa,"""Tortosa"""
 b_prades,"""Prades"""
 k_navarra,"""Navarra"""
 d_navarra,"""Navarra"""
 c_navarra,"""Navarra"""
 b_pamplona,"""Pamplona"""
 b_tafalla,"""Tafalla"""
 b_lizarra,"""Lizarra"""
 c_najera,"""Najera"""
 b_najera,"""Nájera"""
 b_logrono,"""Logrono"""
 b_arnedo,"""Arnedo"""
 c_tudela,"""Tudela"""
 b_tudela,"""Tudela"""
 b_tarazona,"1 ""Olite"""
 d_viscaya,"""Viscaya"""
 c_viscaya,"""Viscaya"""
 b_bilibio,"1 ""Vizcaya"""
 b_alava,"""Alava"""
 c_ipuskoa,"""Ipuskoa"""
 b_irun,"""Irún"""
 b_izurum,"""Izurum"""
 k_asturias,"""Asturias"""
 k_leon,"""León"""
 d_leon,"""León"""
 c_leon,"""Leon"""
 b_leon,"""León"""
 b_sarria,"""Sarria"""
 b_villablino,"""Villablino"""
 b_guardo,"1 ""Cea"""
 b_valenciadecampos,"""Valencia de Campos"""
 c_benavente,"""Benavente"""
 b_benavente,"""Benavente"""
 b_alba,"""Alba"""
 c_zamora,"""Zamora"""
 b_zamora,"""Zamora"""
 b_toro,"""Toro"""
 b_villafafila,"""Villafafila"""
 c_salamanca,"""Salamanca"""
 b_bejar,"""Bejar"""
 b_salamanca,"""Salamanca"""
 b_ciduadrodrigo,"1 ""Ciudad Rodrigo"""
 c_avila,"""Avila"""
 b_avila,"""Avila"""
 b_medinadelcampo,"""Medina del Campo"""
 b_laadrada,"""La Adrada"""
 b_sierradegredos,"1 ""Gredos"""
 d_asturias,"""Asturias"""
 c_asturias_de_oviedo,"""Asturias de Oviedo"""
 b_oviedo,"""Oviedo"""
 b_riano,"""Riano"""
 b_villaviciosa,"""Villaviciosa"""
 b_gijon,"""Gijón"""
 c_pravia,"""Pravia"""
 b_pravia,"""Pravia"""
 b_luarca,"""Luarca"""
 b_gangasdelnarcea,"1 ""Cangas del Narcea"""
 b_carballido,"""Carballido"""
 k_spanish_galicia,"""Galicia"""
 d_galicia,"""Galicia"""
 c_coruna,"""Coruna"""
 b_corunna,"""A Corunnã"""
 b_ferrol,"""Ferrol"""
 b_mondonedo,"""Mondoñedo"""
 b_vilalba,"""Vilalba"""
 c_santiago,"""Santiago"""
 b_santiago,"""Santiago"""
 b_betanzos,"""Betanzos"""
 b_melide,"""Melide"""
 b_padron,"""Padrón"""
 c_tui,"""Tui"""
 b_monte_faro,"""Monte Faro"""
 b_tui,"""Tui"""
 b_vigo,"""Vigo"""
 c_astorga,"""Astorga"""
 b_astorga,"""Astorga"""
 b_lugo,"""Lugo"""
 b_ourense,"""Ourense"""
 b_monfortedelemos,"""Monforte de Lemos"""
 b_ponferrada,"""Ponferrada"""
 c_monterrei,"""Monterrei"""
 b_monterrei,"""Monterrei"""
 b_limia,"""Limia"""
 k_portugal,"""Portugal"""
 d_porto,"""Portucale"""
 c_porto,"""Porto"""
 b_porto,"""Porto"""
 b_braga,"""Braga"""
 b_chavez,"1 ""Chaves"""
 b_guimaraes,"""Guimarães"""
 c_braganza,"""Braganza"""
 b_braganza,"""Bragança"""
 b_miranda_do_duoro,"""Miranda do Duoro"""
 b_villa_real,"""Villa Real"""
 b_mogadouro,"""Mogadouro"""
 d_coimbra,"""Coimbra"""
 c_coimbra,"""Coimbra"""
 b_coimbra,"""Coimbra"""
 b_leiria,"""Leiria"""
 b_obidos,"""Obidos"""
 c_viseu,"""Viseu"""
 b_viseu,"""Viseu"""
 b_trancoso,"""Trancoso"""
 c_aveiro,"""Aveiro"""
 b_aveiro,"""Aveiro"""
 b_gralheira,"1 ""Cinfaes"""
 b_lamego,"""Lamego"""
 c_castelo_branco,"""Castelo Branco"""
 b_castelo_branco,"""Castelo Branco"""
 b_idanha,"1 ""Beira"""
 b_abrantes,"""Abrantes"""
 e_maghreb,"""Maghreb"""
 k_maghreb,"""Maghreb"""
